Organization Name,Organization Name URL,Headquarters Location,Full Description,Operating Status,Company Type,Last Funding Type,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Industries
Joby Aviation,https://www.crunchbase.com/organization/joby-aviation,"Santa Cruz, California, United States","Joby Aviation is a transportation company developing an all-electric vertical take-off and landing aircraft which it intends to operate as part of a fast, quiet, and convenient air taxi service beginning in 2024. The aircraft, which has a range of 150 miles on a single charge, can transport a pilot and four passengers at speeds of up to 200 mph. It is designed to help reduce urban congestion and accelerate the shift to sustainable modes of transit.",Active,For Profit,Post-IPO Equity,,2009-01-01,year,"Aerospace, Air Transportation, Electric Vehicle, Transportation"
Rocket Lab,https://www.crunchbase.com/organization/rocket-lab,"Huntington Beach, California, United States","Rocket Lab is a space company that builds rockets and spacecraft that make it easier to get into orbit and do amazing things there. Rocket Lab provides end-to-end mission services that provide frequent and reliable access to space for civil, defence, and commercial markets. Rocket Lab designs and manufactures the Electron launch vehicle and Photon satellite platform and is developing the Neutron launch vehicle. Since its first orbital launch in January 2018, Rocket Lab’s Electron launch vehicle has become the second most frequently launched U.S. rocket annually and has delivered 105 satellites to orbit for private and public sector organizations, enabling operations in national security, scientific research, space debris mitigation, Earth observation, climate monitoring, and communications. Rocket Lab has two launch sites, including a private orbital launch site located in New Zealand and a second launch site in Virginia, USA, expected to be operational by the end of 2021. Rocket Lab’s Photon spacecraft platform has been selected to support NASA missions to the Moon and Mars, as well as the first private commercial mission to Venus.",Active,For Profit,Grant,,2006-01-01,year,"Aerospace, Electronics, Industrial Manufacturing"
Virgin Galactic,https://www.crunchbase.com/organization/virgin-galactic,"Mojave, California, United States","Virgin Galactic is a commercial spaceline that creates commercial spacecraft. It provides suborbital spaceflights to space tourists, suborbital launches for space science missions, and orbital human spaceflights. It democratizes access to space for the benefit of life on Earth. The astronaut experience will include weightlessness and stunning views of Earth from space onboard SpaceShipOne and SpaceShipTwo, spacecrafts designed by aerospace pioneer Scaled Composites. LauncherOne, Virgin Galactic's orbital launch vehicle, can carry satellites as large as 500 pounds into Earth orbit for historically low prices.",Active,For Profit,Post-IPO Equity,,2004-01-01,year,"Aerospace, Commercial, Space Travel"
Spirit Aerosystems,https://www.crunchbase.com/organization/spirit-aerosystems,"Wichita, Kansas, United States","Spirit AeroSystems, Inc. manufactures component parts and assemblies for commercial aircraft. The company offers products and services in the areas of fuselages, under-wing components, composites, wings, and spares/repairs. It provides aerospace components, composite and metal nacelle hardware, metal pylon hardware, tooling products and services for metallic and/or non-metallic assembly, and fabrication tooling. The company also provides aftermarket customer and fleet support services; and spare parts. Spirit AeroSystems, Inc. was formerly known as Mid-Western Aircraft Systems, Inc and changed its name to Spirit AeroSystems, Inc. in July, 2005. The company is headquartered in Wichita, Kansas with additional offices in Shanghai, China; and Shannon, Ireland. It has a maintenance, repair, and overhaul repair station in Jinjiang, China; a plant in Saint-Nazaire, France; and a manufacturing facility in Kinston, North Carolina. The company also has operations in Tulsa and McAlester, Oklahoma; and Prestwick, Scotland, and Samlesbury, United Kingdom. Spirit AeroSystems, Inc. is a subsidiary of Spirit AeroSystems Holdings, Inc.",Active,For Profit,Post-IPO Debt,,2005-01-01,year,"Aerospace, Machinery Manufacturing, Manufacturing"
VistaJet,https://www.crunchbase.com/organization/vistajet,"Malta, Illinois, United States","VistaJet, the world's fastest growing private aviation company, offering private jet services through its Program and On-Demand solutions.",Active,For Profit,Debt Financing,Women Founded,2004-01-01,year,"Aerospace, Business Travel, Travel"
JSX,https://www.crunchbase.com/organization/jetsuite,"Dallas, Texas, United States","Founded in 2016, JSX (previously ""JetSuiteX"") is a hop-on jet service that's faster on the ground, more comfortable in the air and competitively priced with flights starting from $89 each way. JSX flies more than 330 weekly flights and focuses on connecting highly desirable business and leisure markets within 500 miles which means customers can save up to two hours each time they fly by avoiding crowded airports and long drives. JSX offers many industry-leading features including: Arriving up to 20 minutes before the flight from private jet terminals with no long check-in lines or waiting at crowded gates; A quick, effortless security screening process that far exceeds TSA requirements; Valet parking and beautifully appointed lounges with free WiFi, snacks and drinks; A bright, spacious, modern cabin interior, featuring: 30 comfortable leather seats, each with legroom comparable to domestic airlines' first-class service; Power outlets at every row; Free amenities for all customers including two checked bags, pets, drinks, snacks, and complimentary cocktails inflight; Deplaning and baggage retrieval within minutes of arrival. JSX flights may be booked directly through www.jsx.com or through codeshare partner JetBlue on multiple online travel sites. TrueBlue members may earn points on JSX flights.",Active,For Profit,Venture - Series Unknown,,2009-01-01,year,"Aerospace, Travel"
Aircastle,https://www.crunchbase.com/organization/air-castle,"Stamford, Connecticut, United States","Aircastle is a global company that acquires, leases and sells high-utility commercial jet aircraft to customers throughout the world. High-utility aircraft are generally modern, operationally efficient jets with a large operator base and long useful lives. As of December 31, 2013, Aircastle's aircraft portfolio consisted of 162 aircraft on lease with 64 customers located in 37 countries. From time to time, we also make investments in other aviation assets, including debt securities secured by commercial jet aircraft. Their business is managed by a team of aviation professionals with extensive industry experience. Through servicing offices in the US, Ireland and Singapore, they provide their airline customers with an exceptional level of service and their investors with global coverage and local market knowledge.  Aircastle employs a balanced approach to investment and capitalization, factoring in industry cyclicality and other global and regional market dynamics. They focus on a long-term investment horizon. Their diversified fleet includes Boeing and Airbus narrow and mid-body aircraft including both passenger and freighter applications. Their professionals have extensive experience with aircraft finance, leasing and investment management.",Active,For Profit,Debt Financing,,2005-01-01,year,"Aerospace, Commercial, Service Industry"
United Launch Alliance,https://www.crunchbase.com/organization/united-launch-alliance,"Centennial, Colorado, United States","United Launch Alliance provides spacecraft launch services to the Government of the United States. It is a joint venture of [The Boeing Company](http://www.crunchbase.com/organization/the-boeing-company) and Lockheed Martin Corporation. It was founded in 2005 and is based in Littleton, Colorado.",Active,For Profit,Grant,,2006-12-01,day,"Aerospace, Geospatial, Space Travel"
magniX,https://www.crunchbase.com/organization/magnix,"Redmond, Washington, United States","magniX has developed a family of flight proven electric propulsion units (EPUs) and energy storage systems (ESS) for commercial aviation. ESS options include high density batteries and hydrogen fuel cells. magniX powered the all-electric flight of a modified Robinson R44 helicopter. The battery-electric retrofit was sponsored by United Therapeutics — a biotechnology company on a mission to develop a fleet of zero-emissions rotorcraft to deliver life-saving transplant organs to hospitals. magniX was established on January 1, 2009 in Redmond, Washington.",Active,For Profit,Grant,,2009-01-01,day,"Aerospace, Air Transportation, Electrical Distribution"
ICON Aircraft,https://www.crunchbase.com/organization/icon,"Vacaville, California, United States","ICON Aircraft’s mission is to accelerate the democratization of personal flight and 3-D mobility. ICON creates consumer-friendly, safe, technologically advanced aircraft that make the adventure of flying more accessible to mainstream consumers. ICON’s first aircraft is the A5, an amphibious sport plane that fuses outstanding aeronautical engineering with world-class product design and unprecedented safety features. The A5 is the world’s first production aircraft that is spin-resistant, making it arguably one of the safest small aircraft ever created. The A5 has won some of the world’s most prestigious design awards and has inspired a global following. The company culture is defined by an entrepreneurial, fast-paced, performance-driven meritocracy where intelligent risk-taking is encouraged and the organizational structure is flat and collaborative. ICON seeks A-players who are a strong cultural fit and driven to change the world by creating truly innovative products.",Active,For Profit,Venture - Series Unknown,,2005-01-01,year,"Aerospace, Hardware, Infrastructure, Manufacturing, Transportation"
