Organization Name,Organization Name URL,Headquarters Location,Full Description,Operating Status,Company Type,Last Funding Type,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Industries
Astranis,https://www.crunchbase.com/organization/astranis,"San Francisco, California, United States","Astranis is a developer of a new satellite technology that aims to transmit data down to specific terrestrial locations with each satellite it launches. The company's mission is to help get online the 4 billion people who are without internet access. It was founded in 2015 and is headquartered in San Francisco, California.",Active,For Profit,Venture - Series Unknown,,2015-01-01,year,"Aerospace, Internet, Satellite Communication, Telecommunications"
Hydrosat,https://www.crunchbase.com/organization/hydrosat,"Washington, District of Columbia, United States","Hydrosat is a satellite data company that turns space imagery into vital products for agriculture and related industries. By utilizing heat data, Hydrosat assists in forecasting crop production. Their yield maps and reports help industry, financial clients, and farmers understand agricultural conditions and supply in their area. The company was founded in 2017 and is headquartered in Washington, District of Columbia.",Active,For Profit,Series A,,2017-10-24,day,"Aerospace, AgTech, Analytics, Artificial Intelligence, Big Data, Geospatial, Information Services, Machine Learning"
Virgin Orbit,https://www.crunchbase.com/organization/virgin-orbit,"Long Beach, California, United States","Virgin Orbit focuses on providing launch services for small satellites. Virgin Orbit operates LauncherOne, a flexible launch service for commercial and government-built satellites. It focuses on dedicated launches of small satellites (smallsats). Virgin Orbit develops vehicles to fly private astronauts, research experiments, and satellites into space—democratizing access to space for the benefit of life on Earth.",Active,For Profit,Post-IPO Debt,,2017-03-01,month,"Aerospace, Satellite Communication, Space Travel"
Cloverly,https://www.crunchbase.com/organization/cloverly,"Atlanta, Georgia, United States","Cloverly provide tools for businesses and organizations to achieve carbon neutrality by connecting online buyers to local, high-quality renewable energy through their Sustainability-as-a-Service platform. Clean-tech startup creating a sustainability-as-a-service platform to make carbon offsets accessible for everyday activities.",Active,For Profit,Series A,Black / African American Founded,2018-01-01,year,"Air Transportation, CleanTech, E-Commerce, Energy, Ride Sharing, Shipping"
Ursa Major,https://www.crunchbase.com/organization/ursa-major-technologies,"Berthoud, Colorado, United States","Ursa Major Technologies develops innovative propulsion solutions for the emerging microsatellite and nanosatellite launch market. Its advanced manufacturing optimizes unique part creation. These engines are greater than 80% additively manufactured by mass using innovative, internally-developed materials and processes. The company was founded in 2015 and is based in Berthoud, Colorado.",Active,For Profit,Series D,,2015-01-01,year,"Aerospace, Satellite Communication, Space Travel"
Orbit Fab,https://www.crunchbase.com/organization/orbit-fab,"Lafayette, Colorado, United States","Orbit Fab offers a supply of satellite propellant in Earth Orbit that expands the operational potential of new and existing space assets. It develops the infrastructure needed to grow a thriving in-space market for products and services that support both existing space businesses (communications and Earth observation) and new industries like space tourism, manufacturing, and mining. The future for satellites is no longer restricted to the fuel they are launched with.  Orbit Fab was founded in 2018 by its Co-Founders Daniel Faber and Jeremy Schiel.",Active,For Profit,Series A,,2018-01-01,year,"Aerospace, Energy, Infrastructure, Manufacturing, Space Travel"
Axiom Space,https://www.crunchbase.com/organization/axiom-space,"Houston, Texas, United States","Axiom Space is the builder, owner, and operator of the commercial space station modules connected to the International Space Station (ISS). The company's Low Earth Orbit platform access and decades of human spaceflight management experience support the research, testing of exploration-enabling technologies, and in-space manufacturing that creates new opportunities for advanced industries, governments, and educators and enable future human space exploration. Axiom provides universal access to the ISS by carrying out missions for a crew of national and private astronauts as well as for clients in the research and manufacturing sector, enabling space travelers to have access to various space initiatives and foster further possibilities. The company is backed by C5 Capital, TQS Advisors, Declaration Partners, Moelis Dynasty Investments, Washington University in St. Louis, The Venture Collective, Aidenlair Capital, Hemisphere Ventures, and Starbridge Venture Capital. Kam Ghaffarian and Michael Suffredini established the Houston, Texas-headquartered aviation and aerospace company in 2016.",Active,For Profit,Series C,,2016-01-01,year,"Advanced Materials, Aerospace, Industrial Manufacturing, Space Travel"
Pixxel,https://www.crunchbase.com/organization/pixxel-81c6,"El Segundo, California, United States","Pixxel is a space data company that develops a constellation of hyperspectral earth imaging satellites and analytical tools to mine insights from that data. The constellation is designed to provide global coverage every 24 hours, aiming to detect, monitor, and predict global phenomena.",Active,For Profit,Venture - Series Unknown,,2019-02-01,month,"Aerospace, Geospatial, Information Technology, Satellite Communication"
Archer,https://www.crunchbase.com/organization/archer-b2aa,"San Francisco, California, United States","Archer is an aerospace company building an all-electric vertical takeoff and landing aircraft focused on improving mobility in cities. The company's mission is to advance the benefits of sustainable air mobility. Archer is designing, manufacturing, and operating a fully electric aircraft that can carry four passengers for 60 miles at speeds of up to 150mph while producing minimal noise. Archer's team is based in the San Francisco Bay Area.",Active,For Profit,Post-IPO Equity,,2020-01-01,year,"Aerospace, Air Transportation, Manufacturing"
Space Perspective,https://www.crunchbase.com/organization/space-perspective,"Merritt Island, Florida, United States","Space Perspective is a space travel company that was established so that humans would explore space for the betterment of all. Space Perspective’s first Operations Center is on Florida’s Space Coast, in the heart of the civil and commercial space programs at NASA’s Kennedy Space Center. Flights launch from the iconic runway where the Space Shuttle landed upon its return from space. Additional planned launch locations include Cecil Spaceport in Florida, Hawaii, Alaska and elsewhere as we expand operations around the planet.",Active,For Profit,Venture - Series Unknown,"Women Founded, Women Led",2019-01-01,year,"Aerospace, Space Travel, Tourism"
