Organization Name,Organization Name URL,Headquarters Location,Full Description,Operating Status,Company Type,Last Funding Type,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Industries
SpaceX,https://www.crunchbase.com/organization/space-exploration-technologies,"Hawthorne, California, United States","Space Exploration Technologies is a space-transportation startup company founded by Elon Musk. SpaceX designs manufactures and launches advanced rockets and spacecraft. SpaceX develops crew and cargo capsules, engines, cryogenic tank structures, avionics, equipment, guidance, and control software. The company is developing the partially reusable launch vehicles Falcon 1 and Falcon 9. Founded in 2002, Space Exploration Technologies is headquartered in Hawthorne, California.",Active,For Profit,Grant,,2002-05-06,day,"Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation"
Blue Origin,https://www.crunchbase.com/organization/blue-origin,"Kent, Washington, United States","Blue Origin is an aerospace company that focuses on lowering the cost of spaceflight and helping to explore the solar system. Blue Origin’s engines are designed, developed and manufactured in the United States. They provide great control with a precisely timed start, high-power thrust for launch, deep throttling for landing, and stop and restart capabilities. Since our first, simple, single-propellant engine – the BE-1 – we’ve built and tested multiple generations for suborbital and orbital spaceflight.",Active,For Profit,Grant,,2000-09-08,day,"Aerospace, Manufacturing, National Security, Renewable Energy"
Spaceflight Industries,https://www.crunchbase.com/organization/spaceflight,"Seattle, Washington, United States","Spaceflight Industries is dedicated to opening space access to everyone, Spaceflight Industries’ distinct approach removes the complexities and high cost that once prohibited the majority of organizations from getting to space. Through its wholly owned subsidiaries Spaceflight and BlackSky, the company offers innovative satellite infrastructure, rideshare capabilities, global communications networks, and near real-time imaging capabilities. Founded by aerospace engineer and entrepreneur Jason Andrews (as Andrews Space) in 1999, today the Seattle-based company has a well-earned track record of success on a global scale.",Active,For Profit,Series C,Women Founded,1999-01-01,year,"Aerospace, Apps, Satellite Communication, Software"
GA Telesis,https://www.crunchbase.com/organization/ga-telesis,"Fort Lauderdale, Florida, United States","GA Telesis boasts one of the world’s largest inventories of commercial aircraft products and services. With customers located across six continents, our global facilities allow for timely communication, delivery and MRO services.Their company has built a reputation for unsurpassed excellence and integrity by combining extensive industry experience with a highly skilled global workforce. They provide their customers with complete and customized solutions by packaging our diverse portfolio of products and services to meet their individual needs.",Active,For Profit,Debt Financing,,2002-01-01,year,"Aerospace, Air Transportation, Commercial, Manufacturing"
Allegiant Travel,https://www.crunchbase.com/organization/allegiant-travel,"Las Vegas, Nevada, United States","From America's favorite small cities to world-class destinations, Allegiant makes leisure travel affordable and convenient. With low-low fares, nonstop, all-jet service and premier travel partners, Allegiant provides a complete travel experience with great value and without all the hassle. Allegiant was founded in 1997 and is certificated by the U.S. Department of Transportation (DOT) as a ""Scheduled Air Carrier"" with authority to fly scheduled and charter airline operations throughout the U.S. The Company also has authority for charter service to Canada and Mexico. Allegiant employees are the heart of the Company's business. In addition to their friendliness and professionalism, Allegiant employees receive training that meets all FAA requirements for security, safety and operations.",Active,For Profit,Post-IPO Debt,,1997-01-01,year,"Aerospace, Leisure, Transportation"
Sentient Science,https://www.crunchbase.com/organization/sentient-science,"Buffalo, New York, United States","Sentient Science provides digital twin technology to predict the life of mechanical systems. Sentient's DigitalClone® SaaS solutions use proprietary physics-based modeling and machine learning AI to unlock insights that lower the costs of designing, operating, and sustaining high value assets.  This visibility also helps customers optmize parts inventories and increase profitability. Furthermore, Sentient Science offers professional scientific services that enable us to partner with customer experts in industries such as Wind Energy, Aerospace, Automotive and Rail to develop cost-optimized life extension actions.   Sentient Science is a leader in prognostic solutions with one patent awarded in 2019 for physics-based life prediction and six additional patents pending.  Sentient has won more than $22 million in SBIR/STTR funding from the U.S. Government – with agencies including Dept of Energy, Dept of Defense, and NASA.  The technology has been recognized by the SBIR program with the 2014 Tibbetts Award, by Bloomberg as New Energy Pioneer Award in 2016, and Frost & Sullivan in 2017 with the New Product Innovations Award for Wind Prognostics. DigitalClone has 4 Product Offerings: DigitalClone for Engineering (DC-E) - a physics-based patented SaaS design solution to model drivetrains and predict individual component life under real-world operating conditions. DC-E delivers a unified workflow for a multiscale analysis from system level to component level through microstructure modeling in a single software package. Customers using this technology have achieved up to 35% cost savings and 65% schedule compression for drive system development programs. DigitalClone for Wind Operations and Maintenance (DC-OM) - an AI/ML-based digital twin SaaS that detects damage based on the current “as-maintained” configuration of a wind turbine in operation.  DC-OM provides a holistic view of the health and remaining useful life (RUL) of an asset’s critical systems and identifies components that may be operating with damage. This enables asset-level health risk assessments that support predictive maintenance programs to reduce O&M costs and extend asset life. DigitalClone for Rail Maintenance (DC-RM) - a physics-based SaaS scenario planning tool to compare and select best rail maintenance actions based on rail life extension and financial return on investment.  DC-RM provides railroads with “Precision Scheduled Maintenance” to maximize the utilization of the rail asset and optimize capital efficiency over the lifecycle. DigitalClone for Additive Manufacturing (DC-AM) - a multi-scale and multi-physics SaaS model to computationally assess quality and performance of additive manufacturing built-parts. DC-AM uniquely links the process, microstructure and fatigue to provide design and computational testing.  Customers indicate that DC-AM can reduce iterations for design optimization by 75% and decrease cost for AM part qualification by up to 50%. https://www.linkedin.com/company/sentient-science-corporation",Active,For Profit,Series C,,2001-01-01,year,"Advanced Materials, Aerospace, Analytics, Manufacturing, SaaS, Software, Transportation, Wind Energy"
Radiance Technologies,https://www.crunchbase.com/organization/radiance-technologies-6c26,"Huntsville, Alabama, United States","Radiance Technologies is a business prime contractor that provides innovative solutions for government and commercial customers. They gather people with exceptional technical abilities and in-depth knowledge of customer missions, then outfit them with cutting-edge laboratories, tools, and facilities. To enable effective military operations and protect our troops, they provide intelligence analysis and warfighter support to the intelligence community and the department of defense. They specialize in threat system intelligence analysis across the land, sea, air, space, and cyberspace domains. We use our engineering, technical data analysis, and exploitation expertise to assist its customers in assessing the operational capabilities, performance, effectiveness, and vulnerabilities of foreign weapon systems and activities. Radiance Technologies was founded in 1999 and is headquartered in Alabama.",Active,For Profit,Venture - Series Unknown,,1999-01-01,day,"Aerospace, Employment, Recruiting"
Frontier Aerospace,https://www.crunchbase.com/organization/frontier-aerospace-corporation,"Simi Valley, California, United States","Frontier Aerospace Corporation was incorporated in 2014 and was formerly Frontier Engineering, founded in 1997 by Jim McKinnon.  Jim's extensive background in rocket propulsion and his desire to have the freedom to innovate and explore new technologies led him to start Frontier.Frontier focuses on conceptualizing, designing and proving-out innovative in-space and launch system rocket propulsion. They seek out government research grants and contracts as well as invest internal resources to develop innovative technology primarily in the areas of booster rocket engine components, reaction control thrusters, attitude control propulsion systems and deep space exploration thrusters.",Active,For Profit,Series A,,1997-01-01,year,"Aerospace, Geospatial, Space Travel"
Northstar Aerospace,https://www.crunchbase.com/organization/northstar-aerospace,"Bedford Park, Illinois, United States","Northstar Aerospace manufactures components and assemblies to the aerospace industry. It offers gears and transmissions, accessory gearbox assemblies, rotorcraft drive systems, and other machined and fabricated parts for helicopters and fixed-wing aircraft. Northstar also provides maintenance and repair and overhaul (MRO) on these same platforms. The company is a part of Wynnchurch Capital's portfolio (Private Equity). The Bedford Park, Illinois-located company was established in 2000.",Active,For Profit,Debt Financing,,2000-01-01,year,"Aerospace, Manufacturing"
AeroCentury,https://www.crunchbase.com/organization/aerocentury,"Palo Alto, California, United States","AeroCentury is a holding company with two subsidiaries: Mega Metaverse Corp. (“Mega”) and JetFleet Holding Corp. (“JetFleet”). Mega and JetFleet are California corporations, with our headquarters located in Palo Alto, California. Mega engages in the GameFi business with a metaverse ecosystem and JetFleet engages in the provisions of aircraft advisory and management services.",Active,For Profit,Post-IPO Equity,,1997-01-01,day,"Air Transportation, Consulting, Leasing, Property Management, Sales"
Empire Group,https://www.crunchbase.com/organization/empire-group-inc,"Attleboro, Massachusetts, United States","Empire Group is a full-service product development company that enhances your ability to move with speed and confidence through ALL stages of development by providing customized solutions in design, engineering, prototyping, graphic design, and manufacturing. For over 20 years, we have been a trusted and dependable partner for our customers. Companies on the East Coast, and across the US, that are in the consumer goods, defense, medical device, aerospace/aviation, juvenile, and toy industries rely on us for our knowledge, experience, and wide range of services. At Empire Group, product development is in our DNA. We eat, sleep, and breathe it every day. From design to manufacturing, and every iteration in between, Empire Group takes on the challenges of product development, so our customers have the freedom to create brilliant products, iterate design to perfection, and accelerate speed to market. **Empire Group is an ITAR Registered & ISO 9001:2015 Certified Company.** We provide solutions for product design & engineering, prototype development, rapid manufacturing, branding & packaging. SERVICES: Industrial Design, CNC Machining, Engineering, Industrial & High Performance 3D Printing, Additive Manufacturing, Prototyping, Graphic Design, RTV Molds & Casting, Thermoforming, Custom Finishing, Event Displays",Active,For Profit,Series A,,1999-11-10,day,"3D Printing, 3D Technology, Aerospace, Automotive, Consumer Goods, Electronics, Manufacturing, Military, Packaging Services, Product Design"
ObjectSecurity,https://www.crunchbase.com/organization/objectsecurity,"San Diego, California, United States","ObjectSecurity is The Security Automation Company.  Based in San Diego, CA, and Berlin Germany, ObjectSecurity’s mission is to simplify, improve and automate security for the complex, interconnected IT landscapes most organizations have to deal with today.  Our innovative security automation technologies make security manageable through automation and intelligence:  - OpenPMF Security Policy Automation,  - SCRAMS Supply Chain Risk Analysis Management, and  - VAPTBOX ""AI hacker"".",Active,For Profit,Grant,,2000-08-01,day,"Aerospace, Cloud Security, Cyber Security, Internet of Things, Security, Semantic Web"
