Organization Name,Organization Name URL,Headquarters Location,Full Description,Operating Status,Company Type,Last Funding Type,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Industries
Maxar Technologies,https://www.crunchbase.com/organization/maxar-technologies,"Westminster, Colorado, United States","Maxar Technologies is a space technology firm that provides communication and observation satellites for commercial and government sectors. The company specializes in complete space solutions and safe, accurate geospatial intelligence. In addition to providing global broadband communications and enabling space exploration and advancement, it offers government and commercial customers innovative value to assist them in monitoring, comprehending, and navigating its shifting globe.",Active,For Profit,Post-IPO Debt,,1968-01-01,year,"Aerospace, Geospatial, Government, Satellite Communication, Telecommunications"
Spirit Airlines,https://www.crunchbase.com/organization/spirit-airlines,"Miramar Beach, Florida, United States",Spirit Airlines is an air transport service that offers customizable travel options. It operates scheduled flights throughout the United States and in the Caribbean and Latin America,Active,For Profit,Post-IPO Debt,,1980-01-01,year,"Air Transportation, Transportation, Travel"
AeroVironment,https://www.crunchbase.com/organization/aerovironment,"Monrovia, California, United States","AeroVironment, Inc. designs, develops, produces and supports a portfolio of unmanned aircraft systems (UAS), supplied to organizations within the United States Department of Defense (DoD), charging systems for electric vehicle batteries and power cycling and test systems supplied to commercial and government customers. The Unmanned Aircraft Systems business segment focuses primarily on the design, development, production and support of UAS. The Efficient Energy Systems business segment focuses on the design, development, production and support of electric energy systems, which addresses the demand for clean transportation.",Active,For Profit,Post-IPO Equity,,1971-01-01,year,"Aerospace, Air Transportation, Drones, Electric Vehicle, Electronics, Energy, Government, Manufacturing"
Astronics,https://www.crunchbase.com/organization/astronics,"East Aurora, New York, United States","Astronics Corporation is a leader in advanced, high performance lighting, electrical power, avionics databus products and automated test systems for the global aerospace and defense industries. Astronics Corporation (NASDAQ: ATRO) serves the world’s aerospace, defense, and semiconductor industries with proven, innovative technology solutions. They work side-by-side with customers, integrating their array of power, connectivity, lighting, structure, interior, and test technologies to solve complex challenges. For 50 years, they’ve delivered creative, customer-focused solutions with exceptional responsiveness. Today global airframe manufacturers, airlines, military branches, completion centers, and Fortune 500 companies rely on the collaborative spirit and innovation of Astronics. They offer their breadth of technology solutions and services through 11 subsidiary business units and numerous award-winning product brands. Serving their customers is their first priority, and every day they honor this mission with quality, partnership, and energetic global vision.",Active,For Profit,Post-IPO Debt,,1968-01-01,year,"Aerospace, Manufacturing"
II-VI,https://www.crunchbase.com/organization/ii-vi,"Saxonburg, Pennsylvania, United States","II-VI Incorporated develops, manufactures, and markets materials and derivative precision components and products for precision use in industrial, medical, military, and aerospace applications worldwide. It offers a line of precision infrared optical components, such as lenses, output couplers, windows, and mirrors for use in CO2 lasers; and laser-related products for solid-state lasers and precision optical elements used to focus and direct laser beams onto target work surfaces. The company also provides military infrared optical products and assemblies, including optics for targeting and navigation systems; Selenium and tellurium metals and chemicals that are used as additive materials for metallurgical, glass and animal feed applications, and are used for photovoltaic, electronic, and other industrial applications; thermo-electric coolers, thermo-electric systems, power generation modules, and power generation systems, which provide temperature control; and silicon carbide substrates used in solid-state lighting, wireless infrastructure, radio frequency electronics, and power switching industries. II-VI Incorporated sells its products to original equipment manufactures, system integrators, laser end users, and military and aerospace customers through its direct sales force, as well as through distributors and agents. The company was founded in 1971 and is headquartered in Saxonburg, Pennsylvania.",Active,For Profit,Post-IPO Equity,,1971-01-01,year,"Aerospace, Industrial, Manufacturing, Navigation"
Mesa Air Group,https://www.crunchbase.com/organization/mesa-air-group,"Phoenix, Arizona, United States","A multiple recipient of Air Transport World’s Regional Airline of the Year Award and ranked No. 1 Regional Airline three consecutive years by the DOT Air Travel Consumer Report, Phoenix-based Mesa Airlines operates as US Airways Express/American Eagle from hubs in Charlotte and Phoenix and as United Express from Washington Dulles, Houston and Chicago O’Hare. Founded on a mesa in New Mexico in 1982 by Larry and Janie Risley, Mesa currently operates 69 aircraft with more than 400 daily system departures to 85 cities, 36 states, the District of Columbia, Canada and Mexico. The company has approximately 2,200 employees and plans to hire an additional 1,000 in the next two years.",Active,For Profit,Debt Financing,,1982-01-01,year,"Aerospace, In-Flight Entertainment, Transportation, Travel"
Air Transport Services Group,https://www.crunchbase.com/organization/air-transport-services-group,"Wilmington, Ohio, United States","Air Transport Services Group is a leading provider of air cargo transportation and related services to domestic and foreign air carriers and other companies that outsource their air cargo lift requirements. Through its principal subsidiaries, including two airlines with separate and distinct U.S. FAA Part 121 Air Carrier certificates, ATSG provides air cargo lift, aircraft leasing, aircraft maintenance services, and airport ground services.",Active,For Profit,Post-IPO Equity,,1980-01-01,year,"Aerospace, Air Transportation, Transportation, Travel"
Sarcos Technology and Robotics Corporation,https://www.crunchbase.com/organization/sarcos,"Salt Lake City, Utah, United States","Sarcos Technology and Robotics Corporation (NASDAQ: STRC and STRCW) designs, develops, and manufactures a broad range of advanced mobile robotic systems that redefine human possibilities and are designed to enable the safest most productive workforce in the world. Sarcos robotic systems operate in challenging, unstructured, industrial environments and include teleoperated robotic systems, a powered robotic exoskeleton, and software solutions that enable task autonomy. For more information, please visit www.sarcos.com and connect with us on LinkedIn at https://www.linkedin.com/company/sarcos",Active,For Profit,Post-IPO Equity,,1983-01-01,year,"Aerospace, Industrial Automation, Robotics, Wearables"
Sagetech,https://www.crunchbase.com/organization/sagetech-corporation,"Washington, District of Columbia, United States","Sagetech Corporation provides the world’s smallest aviation surveillance equipment. Their products dominate the sUAS market and are standard or optional equipment on most production sUAS. Sagetech has been a disruptive innovator in miniature surveillance avionics since 1998. Early accomplishments include the Boeing/Insitu ScanEagle autopilot design and several DARPA UAV seedling projects. In 2005 they began delivering Mode C transponders for Marine Corps ScanEagles. This transponder was a first in transponder miniaturization, providing a feature setting ScanEagle apart in the UAS market: the ability to be seen by ATC radar. 2011 saw the introduction of the XP transponder family, which included a Mode S variant with ADS-B Out – the latter a key underpinning of NextGen. Additionally, Sagetech provides manufacturing and refurbishment services, notably for ScanEagle and RQ-21A Blackjack/Integrator UAS. Today, Sagetech employs 55 people distributed between two facilities. They continue to push the state-of-the-art in miniaturization, developing the MX family including TSO-certified avionics for collision avoidance in national airspace and DoD AIMS-certified micro-IFF transponders for military UAS.",Active,For Profit,Venture - Series Unknown,,1978-01-01,year,"Aerospace, Drones, Manufacturing"
Stack Metallurgical Group,https://www.crunchbase.com/organization/stack-metallurgical-group,"Portland, Oregon, United States","Stack Metallurgical Group is a provider of heat treating and metal processing services. The company focuses on the aerospace, power generation, medical implant, and high-end knife and cutlery markets. Founded in 1984, Stack Metallurgical Group is based in Portland, Oregon.",Active,For Profit,Venture - Series Unknown,,1984-01-01,year,"Aerospace, Chemical, Industrial"
