Organization Name,Organization Name URL,Headquarters Location,Full Description,Operating Status,Company Type,Last Funding Type,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Industries
AirHelp,https://www.crunchbase.com/organization/airhelp,"New York, New York, United States","AirHelp is an impact start up aiming to improve passengers rights globally. Its online service helps air passengers get compensation from airlines when their flight gets canceled, delayed, or overbooked. Passengers can access the service via its homepage www.airhelp.com. Besides flight compensation, the company provides a wide range of services from travellers including disruption coverage as subscription and parametric travel insurance products. AirHelp operates offices in Berlin, Barcelona, Gdansk, Krakow, Tarragona and Sao Paulo, and few smaller ones across Europe.. AirHelp was launched in 2013 by Greg Roodt, Henrik Zillmer, and Nicolas Michaelsen. Current AirHelp CEO since January 1st 2022 is Tomasz Pawliszyn",Active,For Profit,Series B,,2013-01-25,day,"Air Transportation, Document Management, Internet, Legal, Professional Services"
Wheels Up,https://www.crunchbase.com/organization/wheels-up,"New York, New York, United States","Wheels Up is a membership-based private aviation company that focuses on reducing the upfront cost to fly privately, providing flexibility, service, and safety. Its mobile app enables members to book flights, manage their accounts, and participate in ride-share opportunities. Its members also have given access to the Wheels Down program.",Active,For Profit,Post-IPO Equity,,2013-01-01,year,"Aerospace, Air Transportation, Travel"
BLADE,https://www.crunchbase.com/organization/fly-blade,"New York, New York, United States","BLADE is a technology-powered, short-distance aviation company committed to reducing travel friction by enabling cost-effective air transportation alternatives. They leverage their technology to enable travelers to utilize and enjoy air travel. BLADE arranges on-demand charter and scheduled flights across a diverse accessible fleet of helicopters, jets, turboprops, and seaplanes. BLADE operates in New York City, Long Island and the Hamptons, Los Angeles, Boston, Washington DC, and many other locations.",Active,For Profit,Post-IPO Equity,,2014-01-01,year,"Aerospace, Crowdsourcing, Travel"
Terran Orbital,https://www.crunchbase.com/organization/terran-orbital,"Boca Raton, Florida, United States","Terran Orbital are the leading innovators and providers of picosatellites, cubesats, and nanosatellites. They provide cost-effective end-to-end new space aerospace solutions for enterprises, universities, and government agencies. Their business is comprised of three operating groups that create their various lines of business. Research, Development, and Manufacturing (RDM) – They have over ten years’ experience and some of the best minds in the nanosatellite industry. They provide R&D consulting services and manufacturing for many government agencies, such as NASA, DARPA, JPL and military organizations such as the DOD, NRL, and NRO. Launch Services – They bridge Earth to Space for those seeking to launch pico and nanosatellites. Data Network & Subscriber Services – They are building a global constellation of best-in-class nanosatellites that will form an unprecedented data infrastructure in space. They expect their network will match or exceed the bandwidth carrying capacity of existing full-sized data satellites at half the cost to subscribers. They will add functionality, capacity, and software applications to their infrastructure on a continuous basis, leveraging it as a foundation for scalable growth in both their company and the space industry as a whole.",Active,For Profit,Post-IPO Equity,,2013-01-01,year,"Aerospace, Machinery Manufacturing, Manufacturing, Satellite Communication"
Firefly Aerospace,https://www.crunchbase.com/organization/firefly-aerospace,"Cedar Park, Texas, United States","Firefly Aerospace engages in providing economical and convenient access to space for small payloads through the design, manufacture, and operation of reliable launch vehicles. The Firefly team addresses the market's need for flexible access to space with a “simplest/soonest” approach to technology selection. Firefly launch vehicles embody the insights of a diverse design team and leverage commercial off–the–shelf (COTS) components, manufactured by suppliers across the United States, to reduce risk, maximize reliability and minimize development time.",Active,For Profit,Series C,Women Founded,2014-01-01,year,"Aerospace, Air Transportation, Satellite Communication"
Anuvu,https://www.crunchbase.com/organization/global-eagle-entertainment,"Santa Ana, California, United States","Anuvu provides connectivity and content solutions to mobility markets. It is driven by a mission is to connect and entertain the world’s passengers, reaching any aircraft and any vessel. The company's digital platforms Iris and Airconnect IFE Pro enable airlines to deliver quality entertainment to their passengers and scale with demand.",Active,For Profit,Private Equity,,2013-01-01,year,"Aerospace, Content, Information Services, Information Technology, Media and Entertainment, Telecommunications"
Infinite Composites,https://www.crunchbase.com/organization/infinite-composites-technologies,"Tulsa, Oklahoma, United States","Infinite Composites develops and manufactures advanced composite pressure vessels and structures. ICT was founded in 2010 to revolutionize composite pressure vessel technology, with the ultimate goal of enabling widespread adoption of composite pressure vessels. Our vision is to make the infinite Composite Pressure Vessel (iCPV) the key enabling technology for space exploration and sustainable transport.Infinite Composites Technologies aims to practice continuous improvement to ensure we deliver products that exceed customer and industry quality standards and deliver products free of fault or defect.",Active,For Profit,Seed,"Hispanic / Latine Founded, Hispanic / Latine Led",2010-10-01,day,"Aerospace, Energy, Government, Industrial Manufacturing, Manufacturing, Oil and Gas, Satellite Communication, Space Travel, Transportation"
Surf Air,https://www.crunchbase.com/organization/surf-air,"Santa Monica, California, United States","Surf Air is the nation’s first All-You-Can-Fly private air travel membership, providing frequent regional business and leisure travelers with a sophisticated and hassle-free air travel experience that saves valuable time and money. The company operates Pilatus PC-12s in executive interior configuration to and from convenient airports in the San Francisco Bay Area, Los Angeles Metro Area, Santa Barbara, and Truckee Lake Tahoe, with service to additional locations to follow. Prospective members can take advantage of pricing as low as $1,599 per month prior to September 1, at which point membership prices will increase as part of the new service offering. Membership options include Individual, Friends & Family, Group, and Business Memberships.",Active,For Profit,Debt Financing,,2011-11-05,day,"Air Transportation, Delivery, Logistics, Transportation, Travel"
Sidus Space,https://www.crunchbase.com/organization/sidus-space,"Merritt Island, Florida, United States","Sidus Space focuses on precision manufacturing, electronics assembly, testing, and 3D printing equipment dedicated to space flight, aerospace, military, and commercial applications. Sidus Space,  a subsidiary of Craig Technologies. Sidus Space (NASDAQ: SIDU) located in Cape Canaveral, Florida, operates from 35,000-square-foot manufacturing, assembly, integration, and testing facility. We focus on space-rated hardware manufacturing, commercial satellite design and manufacture, launch, space-based data collection, and satellite constellation management. Our mission is “Bringing Space Down to Earth” and our vision is to enable space flight heritage status for new technologies while delivering data and predictive analytics to domestic and global customers. Sidus Space makes it easy for any corporation, industry, or vertical to start their journey off-planet with our rapidly scalable, low-cost satellite services, space-based solutions, and testing alternatives.  Located in Cape Canaveral, they are certified in International Organization for Standardization (ISO) 9001:2015/Aerospace Basic Quality System Standard (AS)9100D, AWS welding, and NASA STD 8739.4/J-STD-001-IPC.",Active,For Profit,Venture - Series Unknown,Women Led,2011-01-01,year,"Aerospace, Electronics, Manufacturing"
Kairos Aerospace,https://www.crunchbase.com/organization/kairos-aerospace,"Mountain View, California, United States","Kairos Aerospace provides large-scale, aerial monitoring of methane emissions. The company completed the first-ever basin-wide aerial survey for methane detection in its 2019 survey of the Permian Basin. Kairos Aerospace’s mission is to improve operational excellence for the oil and gas industry with cost-effective, efficient methane reductions at scale.",Active,For Profit,Series C,,2014-01-01,year,"Aerospace, Data Visualization, Energy, Oil and Gas, Space Travel"
Boom Supersonic,https://www.crunchbase.com/organization/boom-technology,"Denver, Colorado, United States","Boom Supersonic is a commercial airplane manufacturer that builds 65- to 88-seat supersonic airliners. Boom Technology is making supersonic passenger travel into reality by making a supersonic airliner. Boom was founded on the philosophy that they need to overcome the challenges to supersonic passenger flight, not surrender to them. They're making supersonic aircraft affordable for business travel. Their ultimate goal is a routine supersonic flight for everyone. Boom Supersonic is redefining what it means to fly in a commercial aircraft by building Overture, its Mach-2.2.",Active,For Profit,Venture - Series Unknown,,2014-09-01,month,"Aerospace, Air Transportation, Manufacturing"
Planet,https://www.crunchbase.com/organization/planet-labs,"San Francisco, California, United States","Planet is a startup based in San Francisco and founded by former NASA employees that collects information about its changing planet via a fleet of compact, highly capable Earth-imaging satellites. The broad coverage and high frequency of Planet's satellite imagery will enable customers with unprecedented access to global and local insights that currently are either impossible or cost-prohibitive to obtain. It designs, builds, and operates the largest fleet of satellites, as well as online software, tools, and analytics needed to deliver data to users.  Planet offers a diverse selection of imagery and analytic solutions, all made available online through our platform and web-based tools. They provide geospatial insights at the speed of change, equipping users with the data necessary to make informed, timely decisions. In addition to California, Planet has offices in Germany and Canada where they deliver market-leading geospatial imagery to a global network of customers and partners in over 100 countries. The Planet's mission is to image the entire Earth every day and make global change visible, accessible, and actionable.",Active,For Profit,Post-IPO Equity,,2010-12-24,day,"Aerospace, Analytics, Big Data, Geospatial, Software"
World View Enterprises,https://www.crunchbase.com/organization/worldview,"Tucson, Arizona, United States","At World View® Enterprises, Inc. we are pioneering a new frontier at the edge of space: the stratospheric economy. Over 115 successful stratospheric flights and 10,274,598 vertical feet flown (Nov 2022), World View has innovated exploration of the stratosphere through advanced research, discovery, and now human spaceflight. We have engineered and patented sophisticated takeoff and landing systems and developed complex methodologies for controlling trajectories in the stratosphere. These innovations have earned us the trust of NASA and other government, scientific, and aerospace organizations. Our expertise enables us to bring edge-of-space travel to the public and stratospheric remote sensing to governments and businesses, as World View embarks on the mission to inspire, create, and explore new perspectives for a radically improved future. We are on a mission to inspire, create and explore new perspectives for a radically-improved future. Whether though our remote sensing vehicles called Stratollites® that can persist in the stratosphere over areas of interest for months at a time, or our space tourism and exploration services that are introducing meaningful space tourism to entirely new addressable market, World View is delivering the first purpose-first service offering from the stratosphere.",Active,For Profit,Series C,Women Founded,2012-08-30,day,"Aerospace, Military, National Security, Space Travel"
JetSmarter,https://www.crunchbase.com/organization/jetsmarter,"Fort Lauderdale, Florida, United States",JetSmarter is a jet service technology that provides technology-enabled services for the business aviation market. Their programs include private and public charters. Their digital platform allows members and customers to book private and shared trips. They also a mobile technology to offer customers digital private aviation services.,Active,For Profit,Private Equity,,2012-12-01,month,"Aerospace, Internet, Transportation, Travel"
Accion Systems,https://www.crunchbase.com/organization/accion-systems,"Boston, Massachusetts, United States","Satellites have changed a lot in the last decade. Propulsion has too. At Accion, we reinvented propulsion for New Space, and created a more efficient ion thruster: the Tiled Ionic Liquid Electrospray (TILE) engine.",Active,For Profit,Series C,"Women Founded, Women Led",2014-01-01,year,"Aerospace, Hardware, Manufacturing, Product Design"
Solestial,https://www.crunchbase.com/organization/regher-solar,"Tempe, Arizona, United States","Solestial, Inc. is the solar energy company for space. Solestial’s core technology is a breakthrough ultra-thin silicon solar cell that can self-cure radiation damage at normal operating temperatures in space, packaged in a flexible, lightweight panel designed to achieve minimum degradation for up to 10 years in LEO.  Solestial panels can be mass-produced using automated machines resulting in costs 90% lower than incumbent technologies, with virtually unlimited manufacturing capacity.  From today’s satellite constellations and research projects to tomorrow’s utility-scale energy infrastructure and services in space, Solestial is powering the new space economy.",Active,For Profit,Seed,,2013-01-01,year,"Aerospace, National Security, Renewable Energy, Solar, Space Travel"
Astro Digital,https://www.crunchbase.com/organization/astro-digital,"Mountain View, California, United States","Astro Digital US Inc is a new name of Aquila Space after its merger with Astro Digital Inc. Company is located in the heart of Silicon Valley at NASA AMES Research Park, Moffett Field. The mission of Astro Digital is to enable daily delivery of high resolution multi-spectral images of all arable and populated land on our planet. Taking a truly commercial approach, the team at Astro Digital and partner companies have identified remote sensing markets that cannot be satisfied with traditional remote sensing satellite deigns and costs. Astro Digital is now designing satellite platforms to satisfy these markets while working closely with image processing and data distribution partners to achieve a clean seamless flow of data from sensor to customer.",Active,For Profit,Series A,Women Founded,2014-01-01,year,"Aerospace, Computer Vision, Geospatial, Image Recognition, Internet of Things, Satellite Communication"
Loon,https://www.crunchbase.com/organization/project-loon,"Mountain View, California, United States","Loon is a network of high altitude balloons used to provide stable internet coverage on the ground. Project Loon balloons float in the stratosphere, twice as high as airplanes and the weather. In the stratosphere, there are many layers of wind, and each layer of wind varies in direction and speed. Loon balloons go where they’re needed by rising or descending into a layer of wind blowing in the desired direction of travel. By partnering with telecommunications companies to share cellular spectrum we’ve enabled people to connect to the balloon network directly from their phones and other LTE-enabled devices. The signal is then passed across the balloon network and back down to the global Internet. Loon is a subsidiary of Alphabet, Google's parent company. The Mountain View, California-based company was founded in 2011.",Active,For Profit,Undisclosed,,2011-01-01,year,"Aerospace, Information Services, Internet, Telecommunications, Travel"
Moon Express,https://www.crunchbase.com/organization/moon-express-inc,"Cape Canaveral, Florida, United States","Moon Express is a privately financed commercial space company blazing a trail to the Moon. Their prime directive is to open up the Moon’s vast resources for humanity and establish new avenues for commercial space activities beyond Earth orbit. They begin with profitable on-ramps by disrupting space transportation with innovative, flexible, and scalable new spacecraft that will radically reduce the cost of commercial robotic space activities.  In doing so they will extend the economic sphere of Earth and make the resources of the Moon and asteroids accessible. They have a team of driven, visionary people merging the best practices of traditional aerospace know-how with the innovation and entrepreneurial culture of Silicon Valley. They have partnerships with NASA as both collaborators and customers. They have signed a contract with NASA for lunar cargo delivery, and NASA has selected Moon Express as a partner in developing lunar landers to put the U.S. back on the surface of the Moon. The company was founded by Dr. Bob Richards, Naveen Jain, and Dr. Barney Pell in August 2010 and was quickly selected by NASA for its $30M Innovative Lunar Demonstrations Data (ILDD) program. Moon Express entered and became the recognized leader in the $30M Google Lunar XPRIZE competition in October of that same year, and in 2014 was selected by NASA for its Lunar CATALYST program focused on a U.S. return to the Moon. Moon Express is headquartered at the NASA Ames Research Park in Mountain View, California, with facilities and operations in Huntsville, Alberta, and at the Kenneday Space Center and Cape Canaveral, Florida.",Active,For Profit,Venture - Series Unknown,,2010-08-01,day,"Aerospace, National Security, Space Travel"
Aireon,https://www.crunchbase.com/organization/aireon,"Mclean, Virginia, United States","Aireon plans to transform the business of air traffic management on a global scale by providing an infrastructure that will enable optimization of air operations around the world. Powered by Iridium innovation and the world’s furthest reaching network, the AireonSM design will deliver the first-ever space-based global aviation surveillance system. AireonSM global monitoring will have a dramatic impact on the aviation industry—increasing efficiencies and fuel savings while offering exciting new applications and business opportunities.",Active,For Profit,Corporate Round,,2011-01-01,year,"Air Transportation, Industrial, Information Services, Public Transportation"
Aero,https://www.crunchbase.com/organization/aero-11d2,"San Francisco, California, United States","Aero is an air travel company that matches air travelers with premium seats or shared charters. Aero provides ticket resale for flights as an agent of registered air carriers. The company is based in San Francisco, California.",Active,For Profit,Series B,Women Led,2014-01-01,year,"Air Transportation, Leisure, Tourism, Travel"
AKHAN Semiconductor,https://www.crunchbase.com/organization/akhan-semiconductor-inc,"Gurnee, Illinois, United States","AKHAN Semiconductor is a fab-lite semiconductor company in the U.S. specializing in diamond semiconductor materials and devices. The company specializes in the production of optical solutions and later supporting and enabling device applications in Consumer Electronics, Military, Aerospace, Telecom, Automotive, and the broader power electronics market.",Active,For Profit,Venture - Series Unknown,,2012-12-17,day,"Aerospace, Automotive, Consumer Electronics, Manufacturing, Military, Semiconductor, Telecommunications"
NanoAvionics,https://www.crunchbase.com/organization/nanoavionics,"Columbia, Illinois, United States","NanoAvionics is a smallsat bus manufacturer and mission integrator currently based in five locations across the US, UK, and Lithuania. The company’s efforts are focused on enabling critical satellite functions and optimizing their hardware, launch, and satellite operation costs by providing end-to-end small satellite solutions – ranging from single missions to constellations. Its core engineering team has implemented over 85 successful satellite missions and commercial projects during the past several years. With modularity as the fundamental principle of NanoAvionics systems’ architecture, NanoAvionics provides economic viability to a wide range of small satellite constellation-based missions, businesses, and organizations worldwide.",Active,For Profit,Grant,,2014-01-01,year,"Aerospace, Communication Hardware, Consumer Electronics, Electronics, Hardware, Industrial Engineering, Internet of Things, Manufacturing, Satellite Communication"
Kitty Hawk,https://www.crunchbase.com/organization/kitty-hawk,"Mountain View, California, United States","Kitty Hawk is a startup taking aim at creating real, usable flying cars. Its mission is to make the dream of personal flight a reality. The company believes that when everyone has access to personal flight, a new, limitless world of opportunity will open up to them. At Kitty Hawk, they engineer, design, and build safe, fun, easy-to-fly aircraft.",Active,For Profit,Grant,,2010-01-01,year,"Aerospace, Air Transportation, Automotive, Logistics"
SpinLaunch,https://www.crunchbase.com/organization/spinlaunch,"Long Beach, California, United States","SpinLaunch is a stealth space catapult startup that aims to creates a much cheaper and sustainable way to get things like satellites from earth into space without chemical propellant. SpinLaunch plans to use a centrifuge spinning at an incredible rate inside a vacuum that reduces friction. All that momentum is then harnessed to catapult a payload into space at speeds one source said could be around 3000 miles per hour. With enough momentum, objects could be flung into space on their own. Alternatively, the catapult could provide some of the power needed with cargo being equipped with supplemental rockets necessary to leave the earth’s atmosphere.",Active,For Profit,Series B,,2014-01-01,year,"Aerospace, Space Travel"
Stellar Labs,https://www.crunchbase.com/organization/stellar-labs,"Burlingame, California, United States","Stellar is an advanced commercial operations system created for private aviation combined with an all-digital distribution network. Stellar is reimagining and revolutionizing the business aviation industry with a suite of integrated, cloud-based applications. Its solution is simple enough for single-aircraft operations, yet comprehensive and robust enough to handle the most complex operations with large fleets and multiple bases. It was founded in 2014 and is headquartered in Burlingame, California.",Active,For Profit,Series A,Women Led,2014-09-01,month,"Air Transportation, Information Technology, Software"
UVify,https://www.crunchbase.com/organization/uvify,"San Francisco, California, United States",UVify is a team with strong background in engineering and design for building autonomous drone for everyone.,Active,For Profit,Series A,,2014-03-18,day,"3D Technology, Aerospace, Drones, Robotics"
