Organization Name,Organization Name URL,Headquarters Location,Full Description,Operating Status,Company Type,Last Funding Type,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Industries
TransDigm,https://www.crunchbase.com/organization/transdigm,"Cleveland, Ohio, United States","TransDigm Group, through its wholly-owned subsidiaries, is a leading global designer, producer and supplier of highly engineered aircraft components for use on nearly all commercial and military aircraft in service today. Major product offerings, substantially all of which are ultimately provided to end-users in the aerospace industry, include mechanical/ electromechanical actuators and controls, ignition systems and components, gear pumps, specialized valves, engineered connectors, power conditioning devices, specialized fluorescent lighting, specialized AC/DC electric motors, aircraft audio systems, engineered latches and cockpit security devices, lavatory hardware and components, hold open rods and locking devices, specialized cockpit displays, elastomers, NiCad batteries/chargers, and starter generators and related components.",Active,For Profit,Post-IPO Equity,,1993-01-01,year,"Aerospace, Manufacturing"
Gogo,https://www.crunchbase.com/organization/gogo,"Chicago, Illinois, United States","Gogo is an inflight internet company that provides broadband connectivity products and services for aviation. It gives air travelers the freedom to be entertained or work more productively, connect aircrews in new ways for better service and safer operations, and employ innovative technologies to talk to the airplanes themselves to deliver higher performance and cost savings. It was founded in 1991 and is headquartered in Chicago, Illinois.",Active,For Profit,Post-IPO Equity,,1991-01-01,year,"Air Transportation, Internet, Mobile, Telecommunications, Transportation, Travel"
Aviation Capital Group,https://www.crunchbase.com/organization/aviation-capital-group,"Newport Beach, California, United States","Aviation Capital Group (ACG) is a privately held, wholly owned subsidiary of Pacific Life Insurance Company (Pacific Life), an industry leader amongst life insurance companies. With over 260 owned and managed commercial jet aircraft leased to approximately 90 airlines in 40 countries, ACG is a proven Fleet Strategy Solutions provider to the world's airlines. Their full-service operating lease platform, forged over 25 years of industry leadership, is core to Their ability to offer these solutions. Additionally, Their global market expertise combined with Their strong manufacturer and global financial institution relationships enable us to provide advisory services and customized financial products.",Active,For Profit,Debt Financing,,1989-01-01,year,Aerospace
Triumph Group,https://www.crunchbase.com/organization/triumph-group,"Berwyn, Pennsylvania, United States","Triumph Group is an aerospace company that manufactures aviation and industrial components, accessories, subassemblies, systems, and aircraft structures. They produce aircraft structures for commercial, regional, business, and military aircraft component manufacturers.",Active,For Profit,Post-IPO Debt,,1993-01-01,year,"Aerospace, Industrial, Manufacturing"
The Carlyle Group,https://www.crunchbase.com/organization/the-carlyle-group,"Washington, District of Columbia, United States","The Carlyle Group is a company involved in the private equity industry primarily. They operate more than $81.1 billion of equity capital under management. The firm operates four fund families, focusing on leveraged buyouts, venture & growth capital, real estate, and leveraged finance investments. They recently opened up another arm for their hedge funds. The firm employs more than 575 investment professionals in 21 countries with several offices in North America, South America, Europe, Asia, and Australia; its portfolio companies employ more than 286,000 people worldwide. Carlyle has over 1200 institutional and private investors in 68 countries.",Active,For Profit,,,1987-01-01,year,"Aerospace, Asset Management, Financial Services, Management Consulting"
Zero Gravity,https://www.crunchbase.com/organization/zero-gravity,"Arlington, Virginia, United States","Zero Gravity is a privately-held space entertainment and tourism company whose mission is to make the excitement and adventure of space accessible to the public. The experience offered by ZERO-G is the only commercial opportunity on Earth for individuals to experience true ""weightlessness"" without going to space. ZERO-G's attention to detail, excellent service, and quality of experience combined with its exciting history have set the foundation for exhilarating adventure-based tourism.",Active,For Profit,Private Equity,,1993-01-01,year,"Aerospace, Air Transportation, Tourism"
Altair,https://www.crunchbase.com/organization/altair-engineering,"Troy, Michigan, United States","Altair Engineering, Inc. provides enterprise analytics, engineering, and on-demand computing software technologies. Its technology optimizes the analysis, management, and visualization of business and engineering information. The company's products include HyperWorks, an enterprise simulation solution for design exploration and decision-making; and PBS GridWorks, a software environment for grid, cluster, and on-demand computing. It also provides product development consultancy services, business intelligence software solutions, and solid state lighting products, as well as develops and markets industrial design/styling software. The company serves automotive, aerospace, government and defense, heavy equipment, consumer products, life and earth sciences, oil and gas, and financial services industries. It sells its products through resellers and distributors in North America, South America, Europe, Africa, Russia, Asia, and Australia. The company was founded in 1985 and is headquartered in Troy, Michigan. It has regional offices and locations in Australia, New Zealand, Brazil, Canada, China, France, Germany, India, Italy, Japan, Korea, Mexico, the Russian Federation, Sweden, the United Kingdom, Ireland, and the United States.",Active,For Profit,Private Equity,,1985-01-01,year,"Aerospace, Analytics, Industrial Engineering, Information Technology, Internet of Things, Software"
Aurora Flight Sciences,https://www.crunchbase.com/organization/aurora-flight-sciences,"Manassas, Virginia, United States","Aurora Flight Sciences designs and builds aerospace vehicles for commercial and military applications.  Aurora is headquartered in Manassas, VA, and operates production facilities in Bridgeport, WV, and Columbus, MS as well as a Research and Development Center in Cambridge, MA.",Active,For Profit,Private Equity,,1989-01-01,year,"Aerospace, Air Transportation, Apps, Hardware"
Silverhawk Aviation,https://www.crunchbase.com/organization/silverhawk-aviation,"Lincoln, Nebraska, United States",Silverhawk Aviation provides private travel in the Midwest and operates Cessna Citation jets and King Air turboprops. The company focuses on connecting Midwest clients that travel across North America and the Caribbean.,Active,For Profit,Debt Financing,,1991-01-01,year,"Aerospace, Air Transportation, Public Transportation, Transportation, Travel"
Paragon Space Development Corporation,https://www.crunchbase.com/organization/paragon-space-development-corporation,"Tucson, Arizona, United States","Paragon designs, produces, qualifies and fields life support and thermal control for extreme environments.  This includes human support systems such as air revitalization, pressure control, waste processing and waste management and resource recovery.  Paragon also produces in-situ resource recovery technologies that recover water, CO2 and other substances for use within life support and to reduce the material burden for replacement.  Paragon also produces the thermal control hardware to keep humans and equipment operating at optimum conditions.  No matter where Humans go in Space in the future, Paragon technology will support them.",Active,For Profit,Grant,Women Founded,1993-05-11,day,"Aerospace, Manufacturing, Oil and Gas, Space Travel"
